Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Taux d'évolution annuel de la population 2013-2018
01001;L'Abergement-Clémenciat;0.1
01002;L'Abergement-de-Varey;1.4
01004;Ambérieu-en-Bugey;-0.22
01005;Ambérieux-en-Dombes;1.02
01006;Ambléon;0.73
01007;Ambronay;2
01008;Ambutrix;0.29
01009;Andert-et-Condon;-0.78
01010;Anglefort;0.09
01011;Apremont;-1.09
01012;Aranc;0.94
01013;Arandas;-1.84
01014;Arbent;-0.32
01015;Arboys en Bugey;0.5
01016;Arbigny;1.54
01017;Argis;1.29
01019;Armix;5.15
01021;Ars-sur-Formans;0.57
01022;Artemare;1.15
01023;Asnières-sur-Saône;0.57
01024;Attignat;-0.4
01025;Bâgé-Dommartin;0.21
01026;Bâgé-le-Châtel;2.09
01027;Balan;-2.33
01028;Baneins;1.26
01029;Beaupont;0.29
01030;Beauregard;-0.65
01031;Bellignat;-0.08
01032;Béligneux;0.28
01033;Valserhône;0.73
01034;Belley;0.47
01035;Belleydoux;-0.93
01036;Valromey-sur-Séran;1.24
01037;Bénonces;1.82
01038;Bény;0.96
01039;Béon;-0.62
01040;Béréziat;0.88
01041;Bettant;-0.03
01042;Bey;1.57
01043;Beynost;0.65
01044;Billiat;1.8
01045;Birieux;0.07
01046;Biziat;1.42
01047;Blyes;2.99
01049;La Boisse;1.99
01050;Boissey;2.25
01051;Bolozon;0.22
01052;Bouligneux;1.53
01053;Bourg-en-Bresse;0.37
01054;Bourg-Saint-Christophe;2.26
01056;Boyeux-Saint-Jérôme;-1.06
01057;Boz;0.58
01058;Brégnier-Cordon;-0.68
01060;Brénod;-1.89
01061;Brens;-0.76
01062;Bressolles;2.77
01063;Brion;0.65
01064;Briord;2.01
01065;Buellas;0.72
01066;La Burbanche;2.88
01067;Ceignes;-0.62
01068;Cerdon;0.79
01069;Certines;0.85
01071;Cessy;1.37
01072;Ceyzériat;0.89
01073;Ceyzérieu;-0.04
01074;Chalamont;0.98
01075;Chaleins;2.57
01076;Chaley;-2.75
01077;Challes-la-Montagne;1.19
01078;Challex;1.85
01079;Champagne-en-Valromey;0.27
01080;Champdor-Corcelles;-1.08
01081;Champfromier;0.53
01082;Chanay;-0.6
01083;Chaneins;1.49
